rsi_handle,display,rank,roles,discord_nickname,discord_match_typ,discord_match_prozent
prankie,prankie the noob,Diamant,,,,
PRreal,PRreal,Diamant,,,,
Psychomania,Psychomania,Diamant,,,,
PTUmuckl,PTUmuckl,Diamant,,,,
pugio,Pugio,Diamant,,,,
Punkwand,Punkwand,Diamant,,,,
PX_Hedon,[PX] Hedon,Diamant,,,,
PzPioneer,Pioneer,Diamant,,,,
QuantumHans,mr_melody,Diamant,,,,
Qwan_Gor,Qwan Gor,Diamant,,,,
r0bster,r0bster,Diamant,,,,
R3forge,R3Forge,Diamant,,,,
Raffy_jp,Raffy_jp,Diamant,,,,
Ragnarokkr,Christian,Diamant,,,,
Raiddie,Raiddie,Diamant,,,,
Raitris,Raitris,Diamant,,,,
rambozambo,rambozambo,Diamant,,,,
Ramnoox,Ramnoox,Diamant,,,,
Ramrod1980,Ramrod,Diamant,,,,
Rasain,Rasain,Diamant,,,,
Rastoban,Rastoban,Diamant,,,,
Ratzomat,Ratzomat,Diamant,,,,
Raven868,Raven868,Diamant,,,,
Rayboss,Rakilo,Diamant,,,,
Rayk0,Raiko,Diamant,,,,
RebelForce,RebelForce,Diamant,,,,
RedstonHacker,RedstonHacker,Diamant,,,,
Refund_Now,Chris_Crysis,Diamant,,,,
Rehnfield,Rehnfield,Diamant,,,,
Rekaru,Rekaru,Diamant,,,,
Resiner,Resiner,Diamant,,,,
Retribtuion,Kuro,Diamant,,,,
Reuschi1901,Reuschi1901,Diamant,,,,
ReWrite-CeC8RCS3,ReWrite-CeC8RCS3,Diamant,,,,
Rey_Philipp,Rey_Philipp,Diamant,,,,
Richthoven,Richthoven,Diamant,,,,
Rimuru1012,Rimuru1012,Diamant,,,,
Risikofuchs,Risikofuchs,Diamant,,,,
Rizo,[DMNT] Rizo77,Diamant,,,,
rockshox93,Rockshox93,Diamant,,,,
rogimuc,rogimuc,Diamant,,,,
Rogosa,Rogosa,Diamant,,,,
Roter_Baron,Roter_Baron,Diamant,,,,
rucos,dreamout,Diamant,,,,
RuedigerRaeudig,RuedigerRaeudig,Diamant,,,,
Ruyox,Ruyox,Diamant,,,,
rznfrk,rznfrk,Diamant,,,,
Saarah,Saarah Usyk,Diamant,,,,
Salomon,SalomonGrump,Diamant,,,,
SamiusRamirez,SamiusRamirez,Diamant,,,,
SammyD1986,SammyD,Diamant,,,,
SaschaNihs-hYa2h6Ez,SaschaNihs-hYa2h6Ez,Diamant,,,,
sasko,Sasko,Diamant,,,,
Saturn-VII,Hyperion,Diamant,,,,
Sceltex,Sceltex,Diamant,,,,
Schele,Schele,Diamant,,,,
Schigga83,Schigga83,Diamant,,,,
SchimmelimSchlafsack,SchimmelimSchlafsack,Diamant,,,,
Schmarmin,Schmarmin,Diamant,,,,
Schmucker,Schmucker,Diamant,,,,
Schowdy,Schowdy,Diamant,,,,
Schranzzor,Alex 'Schranzor' Hale,Diamant,,,,
schwatvogel,schwatvogel,Diamant,,,,
scorewinner,scorewinner,Diamant,,,,
Scorpius89,Scorpius89,Diamant,,,,
Scriptor-Magister,Antaro,Diamant,,,,
SDThirty,SDThirty,Diamant,,,,
Sebastian_von_Wolf,Sebastian,Diamant,,,,
Seebo,Seebo,Diamant,,,,
Seeratte,Seeratte,Diamant,,,,
Sensen_Mann,Sensen_Mann,Diamant,,,,
Sephir0x,Sephir,Diamant,,,,
sergeantshred,sergeantshred,Diamant,,,,
Seygrath,Seygrath,Diamant,,,,
SgtMortibodi,SgtMortibodi,Diamant,,,,
Shadow_Wingaard,Shadow,Diamant,,,,
Shadowrom,Shadowrom,Diamant,,,,
ShadowWaran,ShadowWaran,Diamant,,,,
Shahyr,Shahyr,Diamant,,,,
Shalimara,Shalimara,Diamant,,,,
Shark_Fresh,Shark,Diamant,,,,
Sharkster,MajorCrisis,Diamant,,,,
Shaytee,Shaytee,Diamant,,,,
Shiner,Shiner,Diamant,,,,
Shino-Z,Dr_NanoSpider,Diamant,,,,
SideXBurger,SideXBurger,Diamant,,,,
Sieram,Sieram,Diamant,,,,
Sille77,Sille77,Diamant,,,,
simbim,Simbim,Diamant,,,,
Simidinos,Simidinos,Diamant,,,,
SirMarsii,Marsii,Diamant,,,,
Skorpion-13,Skorpion-13,Diamant,,,,
SkyFalling,SkyFalling,Diamant,,,,
Skyfyre1,Skyfyre1,Diamant,,,,
skyreacher,skyreacher,Diamant,,,,
Slack23,Chris,Diamant,,,,
slava-ukraini,Слава Україні,Diamant,,,,
SleepyKija,SleepyKija,Diamant,,,,
Slimecat,Jungler,Diamant,,,,
Sloian,Sloian,Diamant,,,,
Sloth_Demon,SlothDemon,Diamant,,,,
SLXTR,SLXTR,Diamant,,,,
Smiley33,Smiley_33,Diamant,,,,
SmilingDanger,SmilingDanger,Diamant,,,,
smoky_Fritz,smoky,Diamant,,,,
Sn1pEz,Snigskyte,Diamant,,,,
Snake_Plissken72,Snake_Plissken,Diamant,,,,
Snakepliskin,Snakepliskin,Diamant,,,,
snipercore_49th,Grinefies,Diamant,,,,
Sockenm4nn,Sockenm4nn,Diamant,,,,
Someone,Someone,Diamant,,,,
Sommerle,Ricoli,Diamant,,,,
SonnyCube,SonnyCube,Diamant,,,,
Sorias_Sire,Sorias Sire,Diamant,,,,
SouLG97,SouLG97,Diamant,,,,
Source83,Source83,Diamant,,,,
Souvran,Souvran Star,Diamant,,,,
SpaceMoni,SpaceMoni,Diamant,,,,
SpaceToka,SpaceToka,Diamant,,,,
Sphinx44,Sphinx 44,Diamant,,,,
Spike_Hool,Spike_Hool,Diamant,,,,
SpikeSpiegel-142,SpikeSpiegel-142,Diamant,,,,
SpyFish_HD,SpyFish_HD,Diamant,,,,
srki919,srki919,Diamant,,,,
Srohib_Ipech,Srohib Ipech,Diamant,,,,
StarDaeDalus,DaeDalus,Diamant,,,,
Starfox_Germany,Starfox1970(GER),Diamant,,,,
Steinschlag,Steinschlag,Diamant,,,,
steven-noah,steven-noah,Diamant,,,,
StevenStark,StevenStark,Diamant,,,,
Stilgar,Stilgar,Diamant,,,,
StoneCold86,[DMNT] Colt,Diamant,,,,
StormVector,StormVector,Diamant,,,,
Stranger_nk,Nicolai,Diamant,,,,
Streebeck,Peppi,Diamant,,,,
Strichinger,Strichinger,Diamant,,,,
Striker-3-1,Striker-3-1,Diamant,,,,
Strqke,Strqke,Diamant,,,,
Stryker79,Stryker,Diamant,,,,
Stuffzi,Stuffzi,Diamant,,,,
Stullator,Stulle,Diamant,,,,
Stycho_Nalle,Stycho Nalle,Diamant,,,,
Sumiral_Galenk,SummeGelenk1999,Diamant,,,,
Sutor,David Sutor,Diamant,,,,
Svengineer,Svengineer,Diamant,,,,
Swiffy,Swiffy,Diamant,,,,
SwissStar,Celeo,Diamant,,,,
Symitro,Symitro,Diamant,,,,
T0xicR4ven,T0xicR4ven,Diamant,,,,
T1K1,T1K1,Diamant,,,,
T3CH_CMDR,T3CHFR34K,Diamant,,,,
TailstheFox97,Tails,Diamant,,,,
Tankossi,BlackEagle84,Diamant,,,,
Tantalus11,Tantalus11,Diamant,,,,
TapZap,TapZap,Diamant,,,,
Tarziel,Tarziel,Diamant,,,,
Tayyh,Tayyh,Diamant,,,,
Tech71,D.Hunter,Diamant,,,,
Teesion,Teesion,Diamant,,,,
tempzz,Tempz,Diamant,,,,
TenebrisCorvum,TenebrisCorvum,Diamant,,,,
Terra-Citizen,Terra-Citizen,Diamant,,,,
Teutwart,Teutwart,Diamant,,,,
Texhex,Bravestar,Diamant,,,,
Th3_BLoCk,BloCkBaN,Diamant,,,,
Th3Fr34k,Th3Fr34k,Diamant,,,,
Tharanor,Tharanor,Diamant,,,,
ThatOneTechno,Techno,Diamant,,,,
THE_DR4C0,THE_DR4C0,Diamant,,,,
TheAtomEffect,TheAtomEffect,Diamant,,,,
TheMo1986,[DMNT]TheMo,Diamant,,,,
TheOneKilroy,TheOneKilroy,Diamant,,,,
TheRealButch,TheRealButch,Diamant,,,,
TheReporter,DasIch,Diamant,,,,
ThorHal,ThorHal,Diamant,,,,
ThoSt,ThoSt,Diamant,,,,
Thunderangel,Thunderangel,Diamant,,,,
Tianne-Maja,Tianne-Maja,Diamant,,,,
Tichy63,Tichy,Diamant,,,,
Tidus87,Tidus87,Diamant,,,,
Tig3r,Ch&eacute;,Diamant,,,,
tiger-claw,TigerClaw,Diamant,,,,
Tigerschnegel,Tigerschnegel,Diamant,,,,
Timoa69,Timoa69,Diamant,,,,
tiniboe,tiniboe,Diamant,,,,
Tjugen,Tjugen,Diamant,,,,
tmmm1,SpackJarrow,Diamant,,,,
tntntn,tntntn,Diamant,,,,
to5ka,to5ka,Diamant,,,,
Tobi164,Tobi164,Diamant,,,,
Tonathor,Tonathor,Diamant,,,,
Tondor,Tondor,Diamant,,,,
Toni_Hamady73,Toni.Kurz,Diamant,,,,
tormix,Peter,Diamant,,,,
Tortenguss,Tortenguss,Diamant,,,,
Totetsumonai,Totetsumonai,Diamant,,,,
TraceTheFox,Trace,Diamant,,,,
Traii,Trai,Diamant,,,,
TravelingMerchant,TravelingMerchant,Diamant,,,,
Treibstoff,Promethium,Diamant,,,,
tribernium,tribernium,Diamant,,,,
Troc,Troc,Diamant,,,,
Tront,Tront,Diamant,,,,
Trudbert,Trudbert,Diamant,,,,
Tschohaen,Tschohaen,Diamant,,,,
Tshoiv,Tshoiv,Diamant,,,,
Tuki,SpaceDomme,Diamant,,,,
Turtle_in_Pants,Turtle in Pants,Diamant,,,,
TuXZuSe,TuXZuSe,Diamant,,,,
Tylas100,Tylas100,Diamant,,,,
U-F-O,Oklahoma,Diamant,,,,
Ukti,Ukti,Diamant,,,,
uli1680,uli1680,Diamant,,,,
Ulti84,Ultima,Diamant,,,,
Umberto1309,Umberto1309,Diamant,,,,
Unflexibel,[DMNT] Unflexibel,Diamant,,,,
ungolian,ungolian,Diamant,,,,
UNIDENTIFY,UNIDENTIFY,Diamant,,,,
UnlegitMax1,UnlegitMax1,Diamant,,,,
UnterNull,UnterNull,Diamant,,,,
Urizo,Urizo,Diamant,,,,
urkwold,urkwold,Diamant,,,,
usam74,usam74,Diamant,,,,
uweb95,Uweb95,Diamant,,,,
UweRingelmann,UweRingelmann,Diamant,,,,
ValiantGannet,Gannet,Diamant,,,,
ValiantLaertes,ValiantLaertes,Diamant,,,,
Valosh1995,Valosh1995,Diamant,,,,
vandaik86,vandaik86,Diamant,,,,
Varatreiber,Varatreiber,Diamant,,,,
VarianFry,VarianFry,Diamant,,,,
Vederfieh,Vederfieh,Diamant,,,,
Vega-Citizen,Vega-Citizen,Diamant,,,,
Vel_Rulnar,Vel Rulnar,Diamant,,,,
Viisos,Viisos,Diamant,,,,
Visucius,Daeron Vaith,Diamant,,,,
VK91,VK91,Diamant,,,,
Vuki,Vukinator,Diamant,,,,
VVENDINGEN,WENDINGEN,Diamant,,,,
Vxrpenter,Vxrpenter,Diamant,,,,
W4SCH114PP3N,W4SCH114PP3N,Diamant,,,,
Waine,Luther,Diamant,,,,
Waldmasta,Waldmasta,Diamant,,,,
Wanderfalke,Jorin Blutfang,Diamant,,,,
Wanduhl,Wanduhl,Diamant,,,,
WarlordMolla,WarlordMolla,Diamant,,,,
Wassermann90,Wassermann90,Diamant,,,,
watumba,Watumba,Diamant,,,,
waylan,deathwalker,Diamant,,,,
WhiteMoonPack,WhiteMoonPack,Diamant,,,,
Wilhergu,Wilhergu,Diamant,,,,
Winterboten,Gin,Diamant,,,,
Wizard99-Germany,Wizard[DSC],Diamant,,,,
Wolfeszorn,Wolfeszorn,Diamant,,,,
Wooldemoort,Wooldemoort,Diamant,,,,
Wotanis,Wotanis,Diamant,,,,
WTDuck,What the Duck,Diamant,,,,
X-Genesis,X-Genesis,Diamant,,,,
X6333,X6333 ZK,Diamant,,,,
Xalari,Xalari,Diamant,,,,
xantrino,xantrino,Diamant,,,,
Xarensis,Xarensis,Diamant,,,,
xBlackMamba,xBlackMamba,Diamant,,,,
Xedoron,Xedoron,Diamant,,,,
Xenua,Xenua,Diamant,,,,
XleoXn,Kaiserl3in,Diamant,,,,
xMasterOwlx42x,MasterOwl,Diamant,,,,
Xru-Oi,Xru-Oi,Diamant,,,,
Xtentet,Xtentet,Diamant,,,,
xXan,Xan,Diamant,,,,
xXherdanXx,xXherdanXx,Diamant,,,,
xXLuzifer22,Xxcobra222,Diamant,,,,
xxPaCxx,PIZZArro,Diamant,,,,
xXPhilippXx,SK_Phil,Diamant,,,,
xXTacitusXx,xXTacitusXx,Diamant,,,,
XYM0S,XYM0S,Diamant,,,,
Yalldur,Yalldur,Diamant,,,,
Yolo-Hans,Hans Yolo,Diamant,,,,
YShaliv,Yo,Diamant,,,,
Z0ck0r,Z0ck0r,Diamant,,,,
Zagatorsk,Zagatorsk,Diamant,,,,
Zango,Zangorian,Diamant,,,,
Zeberoc,Zeberoc,Diamant,,,,
Zetze,Zetze,Diamant,,,,
Zhiam,[DMNT]Zhiam,Diamant,,,,
Zitronenstrauch,Zitronenstrauch,Diamant,,,,
ZoeSedai,Zoe Sedai,Diamant,,,,
Zooxy,Zooxy,Diamant,,,,
Zweihorn,Zweihorn,Diamant,,,,
zynd3,zynde3,Diamant,,,,
